Kod pocztowy,Powiat,Gmina
26-914,kozienicki,Magnuszew
26-640,radomski,Skaryszew
62-817,kaliski,Żelazków
64-965,złotowski,Okonek
72-211,łobeski,Dobra
89-110,nakielski,Sadki
98-338,pajęczański,Sulmierzyce
08-460,garwoliński,Sobolew
22-310,krasnostawski,Kraśniczyn
63-620,kępiński,Trzcinica
63-500,ostrzeszowski,Ostrzeszów
82-440,sztumski,Dzierzgoń
63-200,jarociński,Jarocin
99-311,kutnowski,Bedlno
21-100,lubartowski,Lubartów
64-520,szamotulski,Obrzycko
42-110,kłobucki,Popów
22-114,chełmski,Żmudź
22-500,hrubieszowski,Hrubieszów
21-150,lubartowski,Kock
09-550,gostyniński,Szczawin Kościelny
05-620,grójecki,Błędów
06-300,przasnyski,Przasnysz
05-282,wołomiński,Strachówka
62-850,kaliski,Lisków
63-910,rawicki,Miejska Górka
97-216,tomaszowski,Czerniewice
63-022,średzki,Środa Wielkopolska
77-416,złotowski,Tarnówka
96-232,rawski,Regnów
86-330,grudziądzki,Gruta
88-410,żniński,Gąsawa
89-210,żniński,Łabiszyn
62-005,poznański,Czerwonak
23-155,lubelski,Zakrzew
63-820,gostyński,Piaski
21-543,bialski,Konstantynów
23-310,janowski,Modliborzyce
32-210,miechowski,Książ Wielki
42-320,myszkowski,Niegowa
19-520,gołdapski,Banie Mazurskie
07-438,ostrołęcki,Łyse
12-114,szczycieński,Rozogi
07-410,ostrołęcki,Olszewo-Borki
97-352,piotrkowski,Łęki Szlacheckie
26-070,kielecki,Łopuszno
96-513,sochaczewski,Nowa Sucha
96-315,żyrardowski,Wiskitki
74-510,gryfiński,Trzcińsko-Zdrój
73-234,choszczeński,Bierzwnik
87-704,aleksandrowski,Bądkowo
87-400,golubsko-dobrzyński,Golub-Dobrzyń
87-840,włocławski,Lubień Kujawski
07-310,ostrowski,Ostrów Mazowiecka
09-213,sierpecki,Gozdowo
09-135,żuromiński,Siemiątkowo
89-632,chojnicki,Brusy
14-300,ostródzki,Morąg
64-721,czarnkowsko-,Lubasz
62-085,wągrowiecki,Skoki
37-600,lubaczowski,Lubaczów
56-330,milicki,Cieszków
98-260,sieradzki,Burzenin
98-240,zduńskowolski,Szadek
18-230,wysokomazowiecki,Ciechanowiec
82-550,kwidzyński,Prabuty
63-210,jarociński,Żerków
62-862,kaliski,Szczytniki
63-421,ostrowski,Przygodzice
62-025,poznański,Kostrzyn
98-337,pajęczański,Strzelce Wielkie
05-307,miński,Dobre
05-340,otwocki,Kołbiel
62-060,poznański,Stęszew
26-332,opoczyński,Sławno
96-200,rawski,Biała Rawska
09-520,gostyniński,Gostynin
05-504,piaseczyński,Piaseczno
58-512,jeleniogórski,Stara Kamienica
21-020,łęczyński,Milejów
26-300,opoczyński,Opoczno
97-512,radomszczański,Kodrąb
27-310,lipski,Ciepielów
26-434,przysuski,Gielniów
46-040,opolski,Ozimek
37-455,stalowowolski,Radomyśl nad Sanem
42-233,częstochowski,Mykanów
27-423,ostrowiecki,Bałtów
22-315,krasnostawski,Gorzków
21-102,lubartowski,Ostrówek
23-110,lubelski,Krzczonów
23-145,lubelski,Wysokie
22-610,tomaszowski,Krynice
22-435,zamojski,Komarów-Osada
97-410,bełchatowski,Kleszczów
37-470,stalowowolski,Zaklików
08-480,garwoliński,Maciejowice
07-306,ostrowski,Brok
17-106,bielski,Orla
11-500,giżycki,Giżycko
42-141,kłobucki,Przystajń
21-222,parczewski,Podedwórze
16-405,suwalski,Wiżajny
88-230,radziejowski,Piotrków Kujawski
99-335,łęczycki,Witonia
17-330,siemiatycki,Nurzec-Stacja
17-300,siemiatycki,Siemiatycze
12-200,piski,Pisz
83-136,tczewski,Gniew
97-320,piotrkowski,Wolbórz
42-253,częstochowski,Janów
11-410,kętrzyński,Barciany
17-312,siemiatycki,Drohiczyn
09-100,płoński,Płońsk
09-454,płocki,Bodzanów
09-470,płocki,Bodzanów
96-520,sochaczewski,Iłów
05-255,wołomiński,Radzymin
83-010,gdański,Pruszcz Gdański
62-220,gnieźnieński,Niechanowo
11-200,bartoszycki,Bartoszyce
89-350,pilski,Miasteczko Krajeńskie
87-731,aleksandrowski,Waganiec
99-416,łowicki,Nieborów
62-635,kolski,Przedecz
38-712,bieszczadzki,Ustrzyki Dolne
88-150,inowrocławski,Kruszwica
95-001,zgierski,Zgierz
26-700,zwoleński,Zwoleń
64-820,chodzieski,Szamocin
16-304,augustowski,Nowinka
11-220,bartoszycki,Górowo Iławeckie
99-352,kutnowski,Dąbrowice
87-313,brodnicki,Brzozie
88-190,żniński,Barcin
06-445,mławski,Strzegowo
07-210,wyszkowski,Długosiodło
17-100,bielski,Bielsk Podlaski
12-120,szczycieński,Dźwierzuty
64-050,grodziski,Wielichowo
64-130,leszczyński,Rydzyna
64-423,międzychodzki,Kwilcz
77-430,złotowski,Krajenka
26-340,opoczyński,Drzewica
98-332,pajęczański,Rząśnia
26-902,kozienicki,Grabów nad Pilicą
06-408,przasnyski,Krasne
26-624,radomski,Kowala
16-300,augustowski,Augustów
08-445,otwocki,Osieck
87-865,włocławski,Izbica Kujawska
98-290,sieradzki,Warta
98-360,wieruszowski,Lututów
62-660,kolski,Dąbie
11-130,lidzbarski,Orneta
89-300,pilski,Wyrzysk
16-140,sokólski,Korycin
22-510,hrubieszowski,Uchanie
88-300,mogileński,Mogilno
87-510,rypiński,Skrwilno
07-436,ostrołęcki,Łyse
13-334,nowomiejski,Biskupiec
16-500,sejneński,Sejny
97-524,radomszczański,Kobiele Wielkie
83-330,kartuski,Żukowo
62-586,koniński,Rzgów
11-100,lidzbarski,Lidzbark Warmiński
62-620,kolski,Babiak
21-200,parczewski,Parczew
34-103,wadowicki,Wadowice
38-120,strzyżowski,Czudec
23-413,biłgorajski,Obsza
32-551,chrzanowski,Babice
32-600,oświęcimski,Oświęcim
08-455,garwoliński,Trojanów
48-120,głubczycki,Baborów
37-754,przemyski,Krzywcza
47-440,raciborski,Nędza
05-082,warszawski zachodni,Stare Babice
39-307,mielecki,Tuszów Narodowy
95-030,łódzki wschodni,Rzgów
83-050,gdański,Kolbudy
09-200,sierpecki,Rościszewo
09-204,sierpecki,Rościszewo
42-287,lubliniecki,Woźniki
42-283,lubliniecki,Woźniki
11-430,kętrzyński,Korsze
11-710,mrągowski,Piecki
14-240,iławski,Susz
72-122,goleniowski,Przybiernów
16-113,sokólski,Szudziałowo
27-300,lipski,Lipsko
89-608,chojnicki,Chojnice
66-110,zielonogórski,Babimost
59-223,legnicki,Krotoszyce
24-200,lubelski,Bełżyce
62-420,słupecki,Strzałkowo
63-011,średzki,Środa Wielkopolska
74-202,pyrzycki,Bielice
74-111,gryfiński,Banie
16-080,białostocki,Choroszcz
19-506,gołdapski,Gołdap
61-160,poznański,Mosina
19-400,olecki,Olecko
63-830,gostyński,Pępowo
64-514,szamotulski,Szamotuły
64-500,szamotulski,Szamotuły
09-130,płoński,Baboszewo
39-340,mielecki,Padew Narodowa
97-310,piotrkowski,Moszczenica
06-400,ciechanowski,Ciechanów
83-240,starogardzki,Lubichowo
42-282,częstochowski,Kruszyna
63-430,ostrowski,Odolanów
16-404,suwalski,Jeleniewo
38-604,leski,Lesko
16-150,sokólski,Suchowola
16-100,sokólski,Sokółka
87-706,aleksandrowski,Zakrzewo
08-206,łosicki,Huszlew
08-300,sokołowski,Sokołów Podlaski
11-520,giżycki,Ryn
89-606,chojnicki,Chojnice
87-610,lipnowski,Dobrzyń nad Wisłą
98-113,łaski,Buczek
87-312,brodnicki,Zbiczno
34-116,wadowicki,Spytkowice
36-068,rzeszowski,Dynów
37-752,przemyski,Dubiecko
16-050,białostocki,Michałowo
18-106,białostocki,Turośń Kościelna
06-406,ciechanowski,Opinogóra Górna
18-300,zambrowski,Zambrów
08-307,sokołowski,Repki
07-130,węgrowski,Łochów
21-426,łukowski,Wola Mysłowska
32-708,bocheński,Bochnia
34-211,suski,Budzów
73-200,choszczeński,Choszczno
66-432,gorzowski,Lubiszyn
26-200,konecki,Końskie
72-410,kamieński,Golczewo
27-552,opatowski,Baćkowice
28-136,buski,Nowy Korczyn
26-425,przysuski,Odrzywół
63-410,ostrowski,Ostrów Wielkopolski
07-311,ostrowski,Wąsewo
98-420,wieruszowski,Sokolniki
78-111,kołobrzeski,Ustronie Morskie
89-520,tucholski,Gostycyn
19-222,grajewski,Wąsosz
18-423,łomżyński,Przytuły
11-700,mrągowski,Mrągowo
09-310,żuromiński,Kuczbork-Osada
58-100,świdnicki,Jaworzyna Śląska
07-221,wyszkowski,Brańszczyk
14-140,ostródzki,Miłomłyn
89-650,chojnicki,Czersk
83-424,kościerski,Lipusz
72-212,goleniowski,Maszewo
77-304,człuchowski,Rzeczenica
76-012,koszaliński,Polanów
86-120,świecki,Pruszcz
78-426,szczecinecki,Biały Bór
66-535,strzelecko-drezdenecki,Drezdenko
55-120,trzebnicki,Oborniki Śląskie
22-470,zamojski,Zwierzyniec
67-410,wschowski,Sława
05-110,legionowski,Jabłonna
19-124,moniecki,Jaświły
13-332,nowomiejski,Nowe Miasto Lubawskie
76-024,koszaliński,Świeszyno
16-200,sokólski,Dąbrowa Białostocka
63-012,średzki,Dominowo
38-471,krośnieński,Wojaszówka
14-230,iławski,Zalewo
86-253,chełmiński,Kijewo Królewskie
19-111,moniecki,Krypno
11-420,kętrzyński,Srokowo
19-321,ełcki,Ełk
16-420,suwalski,Raczki
06-320,ostrołęcki,Baranowo
22-150,chełmski,Wierzbica
47-134,strzelecki,Ujazd
96-100,skierniewicki,Skierniewice
88-110,inowrocławski,Inowrocław
82-500,kwidzyński,Kwidzyn
57-211,ząbkowicki,Ciepłowody
46-142,namysłowski,Namysłów
08-124,siedlecki,Mokobody
82-433,sztumski,Mikołajki Pomorskie
82-325,elbląski,Markusy
88-160,inowrocławski,Janikowo
32-083,krakowski,Zabierzów
28-114,buski,Gnojno
38-606,leski,Baligród
18-414,łomżyński,Nowogród
99-320,kutnowski,Żychlin
87-500,rypiński,Rypin
32-500,chrzanowski,Chrzanów
16-310,augustowski,Sztabin
99-120,łęczycki,Piątek
38-543,sanocki,Komańcza
76-211,słupski,Ustka
19-330,ełcki,Stare Juchy
34-600,limanowski,Limanowa
11-042,olsztyński,Jonkowo
14-100,ostródzki,Ostróda
62-872,kaliski,Godziesze Wielkie
63-507,ostrzeszowski,Kobyla Góra
87-603,lipnowski,Wielgie
83-110,tczewski,Tczew
10-687,olsztyński,Purda
29-135,włoszczowski,Radków
11-400,kętrzyński,Kętrzyn
24-103,puławski,Żyrzyn
38-481,krośnieński,Rymanów
19-500,gołdapski,Gołdap
37-413,niżański,Harasiuki
38-700,bieszczadzki,Ustrzyki Dolne
07-431,ostrołęcki,Czarnia
26-234,konecki,Słupia Konecka
38-315,gorlicki,Uście Gorlickie
74-110,gryfiński,Banie
80-297,kartuski,Żukowo
05-532,piaseczyński,Góra Kalwaria
34-424,nowotarski,Szaflary
21-002,lubelski,Jastków
26-500,szydłowiecki,Szydłowiec
22-304,krasnostawski,Siennica Różana
09-110,płoński,Sochocin
06-452,ciechanowski,Ciechanów
21-136,lubartowski,Firlej
26-080,kielecki,Mniów
06-456,ciechanowski,Ojrzeń
06-425,makowski,Karniewo
62-312,wrzesiński,Pyzdry
16-061,białostocki,Juchnowiec Kościelny
56-210,górowski,Wąsosz
56-300,milicki,Milicz
55-080,wrocławski,Kąty Wrocławskie
66-431,gorzowski,Santok
16-406,suwalski,Rutka-Tartak
77-124,bytowski,Parchowo
11-730,mrągowski,Mikołajki
12-160,szczycieński,Wielbark
62-260,gnieźnieński,Łubowo
62-050,poznański,Mosina
62-081,poznański,Tarnowo Podgórne
24-105,puławski,Baranów
96-314,grodziski,Baranów
27-312,lipski,Chotcza
28-100,buski,Busko-Zdrój
28-530,kazimierski,Skalbmierz
63-604,kępiński,Baranów
39-450,tarnobrzeski,Baranów Sandomierski
63-300,pleszewski,Pleszew
32-010,krakowski,Kocmyrzów-Luborzyca
14-530,braniewski,Frombork
87-600,lipnowski,Lipno
98-330,pajęczański,Pajęczno
19-300,ełcki,Ełk
19-411,olecki,Świętajno
32-046,krakowski,Skała
22-175,chełmski,Dorohusk
62-511,koniński,Kramsk
22-437,zamojski,Łabunie
64-234,wolsztyński,Przemęt
83-211,starogardzki,Starogard Gdański
33-342,nowosądecki,Stary Sącz
07-203,wyszkowski,Somianka
82-420,kwidzyński,Ryjewo
19-504,gołdapski,Dubeninki
74-520,gryfiński,Cedynia
87-732,włocławski,Lubanie
09-472,płocki,Słupno
11-040,olsztyński,Dobre Miasto
77-230,słupski,Kępice
98-275,sieradzki,Brzeźnio
11-010,olsztyński,Barczewo
32-813,brzeski,Szczurowa
62-571,koniński,Stare Miasto
62-330,wrzesiński,Nekla
57-256,ząbkowicki,Bardo
26-035,kielecki,Raków
62-300,wrzesiński,Września
14-133,olsztyński,Gietrzwałd
78-113,kołobrzeski,Dygowo
14-405,braniewski,Wilczęta
99-340,kutnowski,Krośniewice
76-023,koszaliński,Świeszyno
99-205,poddębicki,Dalików
84-352,lęborski,Wicko
16-320,augustowski,Bargłów Kościelny
44-153,gliwicki,Sośnicowice
42-262,częstochowski,Poczesna
66-235,sulęciński,Torzym
21-070,łęczyński,Cyców
77-140,bytowski,Kołczygłowy
55-140,trzebnicki,Żmigród
77-300,człuchowski,Człuchów
72-310,gryficki,Gryfice
11-001,olsztyński,Dywity
82-400,sztumski,Sztum
74-320,myśliborski,Barlinek
89-504,tucholski,Tuchola
24-170,puławski,Kurów
66-627,krośnieński,Bobrowice
62-640,kolski,Grzegorzew
84-242,wejherowski,Luzino
64-200,wolsztyński,Wolsztyn
83-225,starogardzki,Skórcz
80-299,kartuski,Żukowo
74-201,pyrzycki,Warnice
73-220,choszczeński,Drawno
72-001,policki,Kołbaskowo
74-500,gryfiński,Chojna
33-336,nowosądecki,Łabowa
74-311,myśliborski,Dębno
16-070,białostocki,Choroszcz
83-260,starogardzki,Kaliska
18-420,łomżyński,Jedwabne
14-521,braniewski,Lelkowo
13-124,nidzicki,Kozłowo
14-120,ostródzki,Dąbrówno
33-318,nowosądecki,Gródek nad Dunajcem
42-270,częstochowski,Kłomnice
18-413,łomżyński,Miastkowo
74-100,gryfiński,Gryfino
19-404,olecki,Wieliczki
56-410,oleśnicki,Dobroszyce
26-050,kielecki,Zagnańsk
86-230,chełmiński,Lisewo
88-220,radziejowski,Osięciny
24-160,puławski,Wąwolnica
38-307,gorlicki,Sękowa
82-450,sztumski,Stary Dzierzgoń
57-451,kłodzki,Nowa Ruda
87-321,brodnicki,Bartniczka
87-301,brodnicki,Brodnica
96-332,żyrardowski,Puszcza Mariańska
16-316,augustowski,Lipsk
11-106,lidzbarski,Kiwity
56-215,górowski,Niechlów
97-515,radomszczański,Masłowice
07-215,pułtuski,Obryte
26-631,radomski,Jastrzębia
26-706,zwoleński,Tczów
62-100,wągrowiecki,Wągrowiec
76-142,sławieński,Malechowo
87-214,wąbrzeski,Płużnica
63-930,rawicki,Jutrosin
72-004,policki,Police
13-100,nidzicki,Nidzica
57-160,strzeliński,Borów
26-006,kielecki,Nowa Słupia
59-241,legnicki,Legnickie Pole
58-120,świdnicki,Strzegom
59-820,lubański,Leśna
97-220,tomaszowski,Rzeczyca
96-321,grodziski,Żabia Wola
83-430,kościerski,Stara Kiszewa
87-821,włocławski,Baruchowo
47-133,strzelecki,Jemielnica
34-124,wadowicki,Wadowice
34-130,wadowicki,Kalwaria Zebrzydowska
78-460,szczecinecki,Barwice
83-305,kartuski,Przodkowo
19-213,grajewski,Radziłów
38-454,krośnieński,Dukla
11-036,olsztyński,Gietrzwałd
59-407,jaworski,Mściwojów
95-082,pabianicki,Dobroń
97-532,radomszczański,Żytno
36-230,brzozowski,Domaradz
37-723,przemyski,Stubno
38-115,strzyżowski,Niebylec
73-134,stargardzki,Stargard
76-150,sławieński,Darłowo
18-520,kolneński,Stawiski
46-166,namysłowski,Namysłów
14-411,elbląski,Rychliki
24-340,opolski,Józefów nad Wisłą
72-300,gryficki,Gryfice
21-003,lubelski,Niemce
63-760,krotoszyński,Zduny
05-503,piaseczyński,Piaseczno
37-621,lubaczowski,Lubaczów
63-716,krotoszyński,Krotoszyn
06-216,makowski,Sypniewo
77-420,złotowski,Lipka
32-086,krakowski,Zielonki
74-230,pyrzycki,Lipiany
37-713,przemyski,Żurawica
78-331,świdwiński,Rąbino
21-065,świdnicki,Rybczewice
06-200,makowski,Szelków
27-670,sandomierski,Łoniów
43-440,cieszyński,Goleszów
38-530,sanocki,Zarszyn
46-243,kluczborski,Kluczbork
64-607,obornicki,Oborniki
88-140,inowrocławski,Gniewkowo
83-334,kartuski,Sierakowice
83-329,kartuski,Kartuzy
33-335,nowosądecki,Nawojowa
38-242,jasielski,Skołyszyn
39-232,dębicki,Brzostek
83-250,starogardzki,Skarszewy
72-131,goleniowski,Goleniów
63-805,gostyński,Poniec
89-320,pilski,Wysoka
82-520,kwidzyński,Gardeja
06-430,ciechanowski,Sońsk
09-414,płocki,Brudzeń Duży
05-610,grójecki,Goszczyn
67-222,głogowski,Jerzmanowa
09-304,żuromiński,Lubowidz
95-080,łódzki wschodni,Tuszyn
89-240,nakielski,Kcynia
83-440,kościerski,Karsin
83-432,kościerski,Stara Kiszewa
55-040,wrocławski,Kobierzyce
06-513,mławski,Wieczfnia Kościelna
97-510,piotrkowski,Ręczno
46-112,namysłowski,Świerczów
97-306,piotrkowski,Grabica
88-133,inowrocławski,Dąbrowa Biskupia
86-160,świecki,Warlubie
77-235,bytowski,Trzebielino
89-333,pilski,Wyrzysk
56-513,oleśnicki,Międzybórz
55-095,wrocławski,Długołęka
26-411,przysuski,Rusinów
26-505,szydłowiecki,Orońsko
49-200,brzeski,Grodków
46-233,kluczborski,Kluczbork
43-246,cieszyński,Strumień
99-440,łowicki,Zduny
84-351,lęborski,Nowa Wieś Lęborska
29-100,włoszczowski,Włoszczowa
86-140,świecki,Drzycim
21-300,radzyński,Radzyń Podlaski
78-311,świdwiński,Świdwin
38-305,gorlicki,Lipinki
62-010,poznański,Pobiedziska
97-420,bełchatowski,Szczerców
21-211,parczewski,Dębowa Kłoda
06-126,pułtuski,Gzy
08-207,łosicki,Olszanka
28-512,kazimierski,Bejsce
98-161,zduńskowolski,Zapolice
64-231,wolsztyński,Siedlec
83-425,kościerski,Dziemiany
86-131,świecki,Jeżewo
26-004,kielecki,Bieliny
62-610,koniński,Sompolno
99-418,łowicki,Nieborów
21-306,radzyński,Czemierniki
12-230,piski,Biała Piska
66-130,zielonogórski,Bojadła
73-153,łobeski,Łobez
59-610,lwówecki,Wleń
19-206,grajewski,Rajgród
32-731,bocheński,Żegocina
26-420,grójecki,Nowe Miasto nad Pilicą
44-237,rybnicki,Czerwionka-Leszczyny
28-313,jędrzejowski,Imielno
13-230,działdowski,Lidzbark
44-362,wodzisławski,Gorzyce
78-312,świdwiński,Świdwin
37-700,przemyski,Przemyśl
22-670,tomaszowski,Bełżec
14-500,braniewski,Braniewo
09-214,sierpecki,Mochowo
96-300,żyrardowski,Radziejowice
62-310,wrzesiński,Pyzdry
63-700,krotoszyński,Krotoszyn
72-400,kamieński,Kamień Pomorski
62-400,słupecki,Słupca
38-713,bieszczadzki,Lutowiska
27-640,sandomierski,Klimontów
64-113,leszczyński,Osieczna
63-740,krotoszyński,Kobylin
21-104,lubartowski,Niedźwiada
98-358,pajęczański,Kiełczygłów
33-380,nowosądecki,Krynica-Zdrój
22-425,zamojski,Grabowiec
21-560,bialski,Międzyrzec Podlaski
38-610,leski,Solina
21-512,bialski,Zalesie
17-240,hajnowski,Czeremcha
22-523,hrubieszowski,Horodło
11-510,giżycki,Wydminy
62-265,gnieźnieński,Kiszkowo
88-324,mogileński,Jeziora Wielkie
48-100,głubczycki,Głubczyce
17-220,hajnowski,Narewka
87-640,toruński,Czernikowo
26-225,konecki,Gowarczów
38-524,sanocki,Besko
32-711,bocheński,Bochnia
43-512,bielski,Bestwina
05-332,miński,Siennica
28-232,staszowski,Łubnice
27-660,sandomierski,Koprzywnica
09-152,płoński,Naruszewo
64-020,kościański,Czempiń
11-440,kętrzyński,Reszel
38-600,leski,Lesko
72-315,łobeski,Resko
62-834,kaliski,Ceków-Kolonia
62-710,turecki,Władysławów
78-122,kołobrzeski,Kołobrzeg
71-220,policki,Dobra (Szczecińska)
71-234,policki,Dobra (Szczecińska)
72-003,policki,Dobra (Szczecińska)
71-216,policki,Dobra (Szczecińska)
71-235,policki,Dobra (Szczecińska)
71-232,policki,Dobra (Szczecińska)
71-221,policki,Dobra (Szczecińska)
71-218,policki,Dobra (Szczecińska)
71-237,policki,Dobra (Szczecińska)
71-219,policki,Dobra (Szczecińska)
71-238,policki,Dobra (Szczecińska)
71-217,policki,Dobra (Szczecińska)
71-236,policki,Dobra (Szczecińska)
71-230,policki,Dobra (Szczecińska)
21-310,radzyński,Wohyń
26-400,przysuski,Przysucha
32-089,krakowski,Wielka Wieś
64-603,obornicki,Oborniki
78-124,kołobrzeski,Rymań
06-540,mławski,Radzanów
32-444,myślenicki,Myślenice
26-008,kielecki,Górno
23-250,kraśnicki,Urzędów
34-113,wadowicki,Brzeźnica
19-230,grajewski,Szczuczyn
73-261,choszczeński,Pełczyce
84-217,wejherowski,Szemud
72-005,policki,Kołbaskowo
55-050,wrocławski,Sobótka
55-100,trzebnicki,Trzebnica
97-319,tomaszowski,Będków
62-061,poznański,Stęszew
